Day,MIN,MAX,AVG
316,22.9,29.5,26.2
317,17.2,27.4,22.3
318,12.1,28.3,20.2
319,12.8,30.5,21.65
320,16.3,29.4,22.85
321,19.7,26.2,22.95
322,19.4,25.9,22.65
323,16.5,27.8,22.15
324,18.4,30.1,24.25
325,22,27.5,24.75
326,19.3,25.9,22.6
327,19.4,26.8,23.1
328,20.2,27.5,23.85
329,21.4,26.1,23.75
330,22.8,28.6,25.7
331,21.9,27.7,24.8
332,20.8,28.1,24.45
333,21,27,24
334,20.5,23,21.75
335,20.8,26.7,23.75
336,21.8,29.5,25.65
337,21.2,30.4,25.8
338,20.4,30.1,25.25
339,18.9,27.9,23.4
340,18.6,28.1,23.35
341,20.2,28.4,24.3
342,21.7,29.3,25.5
343,19.6,32,25.8
344,20,31.5,25.75
345,17.7,30.1,23.9
346,20.4,28.1,24.25
347,19.9,27.9,23.9
348,19.3,31.1,25.2
349,18.7,30.5,24.6
350,19.9,31.1,25.5
351,20.9,29.8,25.35
352,20.4,29.7,25.05
353,19.2,29.7,24.45
354,21.7,33.3,27.5
355,23.2,32.5,27.85
356,22.2,31.5,26.85
357,21.2,31.1,26.15
358,22.5,31.6,27.05
359,22.8,30,26.4
360,20.8,28.4,24.6
361,21.3,28.9,25.1
362,19.6,25.7,22.65
363,19.1,26.9,23
364,17.8,27.7,22.75
365,18.9,25.6,22.25
